[Odometry @ factory.py:85][DEBUG] 2017-11-15 18:38:05,732: Logging to: logs/2017_Nov_15/Odometry/18_38_05.log
[Odometry @ node.py:89][INFO] 2017-11-15 18:38:11,709: setup
[Odometry @ node.py:79][DEBUG] 2017-11-15 18:38:15,136: [log buffer start]
[DEBUG, 1510789091.8865128]: OdometryMessage(t=1510789091.8865104, n=0, xy=0.0, th=-0.0625, dt=0.10325884819030762)
[DEBUG, 1510789091.9190516]: OdometryMessage(t=1510789091.9190502, n=1, xy=0.0, th=0.0, dt=0.030657291412353516)
[DEBUG, 1510789091.9516375]: OdometryMessage(t=1510789091.951636, n=2, xy=0.0, th=0.0, dt=0.03085803985595703)
[DEBUG, 1510789091.9856405]: OdometryMessage(t=1510789091.985639, n=3, xy=0.0, th=0.0, dt=0.0)
[DEBUG, 1510789092.0074978]: OdometryMessage(t=1510789092.0074966, n=4, xy=0.18913983114630106, th=0.0, dt=0.021483421325683594)
[DEBUG, 1510789092.0403526]: OdometryMessage(t=1510789092.040351, n=5, xy=0.0, th=0.0, dt=0.030654430389404297)
[DEBUG, 1510789092.0624413]: OdometryMessage(t=1510789092.0624397, n=6, xy=0.1891398311462993, th=0.0, dt=0.02050614356994629)
[DEBUG, 1510789092.0845757]: OdometryMessage(t=1510789092.0845742, n=7, xy=0.1891398311462993, th=0.0, dt=0.0204317569732666)
[DEBUG, 1510789092.0957935]: OdometryMessage(t=1510789092.095792, n=8, xy=0.0, th=0.0, dt=0.030808687210083008)
[DEBUG, 1510789092.135806]: OdometryMessage(t=1510789092.1358042, n=9, xy=0.1891398311462993, th=0.0, dt=0.020656108856201172)
[DEBUG, 1510789092.1590774]: OdometryMessage(t=1510789092.1590753, n=10, xy=0.0, th=0.0, dt=0.023412704467773438)
[DEBUG, 1510789092.1597426]: OdometryMessage(t=1510789092.1597412, n=11, xy=0.0, th=0.0, dt=0.03104257583618164)
[DEBUG, 1510789092.182021]: OdometryMessage(t=1510789092.182019, n=12, xy=0.0, th=0.0, dt=0.02072739601135254)
[DEBUG, 1510789092.226762]: OdometryMessage(t=1510789092.2267604, n=13, xy=0.0, th=0.0, dt=0.031016111373901367)
[DEBUG, 1510789092.2503347]: OdometryMessage(t=1510789092.2503328, n=14, xy=0.0, th=0.0, dt=0.020654916763305664)
[DEBUG, 1510789092.2732098]: OdometryMessage(t=1510789092.2732081, n=15, xy=0.0, th=0.0, dt=0.0308840274810791)
[DEBUG, 1510789092.296595]: OdometryMessage(t=1510789092.2965932, n=16, xy=-0.1891398311462993, th=0.0, dt=0.020910024642944336)
[DEBUG, 1510789092.3190048]: OdometryMessage(t=1510789092.3190026, n=17, xy=-0.1891398311462993, th=0.0, dt=0.020870208740234375)
[DEBUG, 1510789092.3421829]: OdometryMessage(t=1510789092.3421807, n=18, xy=-0.1891398311462993, th=0.0, dt=0.0312197208404541)
[DEBUG, 1510789092.3654861]: OdometryMessage(t=1510789092.365484, n=19, xy=-0.18913983114630106, th=0.0, dt=0.020624637603759766)
[DEBUG, 1510789092.3881888]: OdometryMessage(t=1510789092.388187, n=20, xy=-0.1891398311462993, th=0.0, dt=0.030875205993652344)
[DEBUG, 1510789092.389]: OdometryMessage(t=1510789092.3889987, n=21, xy=0.0, th=0.0, dt=0.024362564086914062)
[DEBUG, 1510789092.4107435]: OdometryMessage(t=1510789092.4107418, n=22, xy=-0.3782796622925986, th=0.0, dt=0.020884037017822266)
[DEBUG, 1510789092.4335892]: OdometryMessage(t=1510789092.433587, n=23, xy=-0.18913983114630106, th=0.0, dt=0.020757436752319336)
[DEBUG, 1510789092.4567566]: OdometryMessage(t=1510789092.4567547, n=24, xy=0.0, th=0.0, dt=0.03608250617980957)
[DEBUG, 1510789092.47948]: OdometryMessage(t=1510789092.4794781, n=25, xy=-0.1891398311462993, th=0.0, dt=0.030936241149902344)
