[Odometry @ factory.py:85][DEBUG] 2017-11-15 18:04:02,100: Logging to: logs/2017_Nov_15/Odometry/18_04_02.log
[Odometry @ node.py:89][INFO] 2017-11-15 18:04:08,623: setup
[Odometry @ node.py:79][DEBUG] 2017-11-15 18:04:11,899: [log buffer start]
[DEBUG, 1510787048.7995389]: OdometryMessage(t=1510787048.799537, n=0, xy=0.0, th=-0.12499999999994316, dt=0.10333824157714844)
[DEBUG, 1510787048.8321853]: OdometryMessage(t=1510787048.8321838, n=1, xy=0.0, th=0.0, dt=0.03063368797302246)
[DEBUG, 1510787048.8647559]: OdometryMessage(t=1510787048.8647547, n=2, xy=0.0, th=0.0, dt=0.0308530330657959)
[DEBUG, 1510787048.8870947]: OdometryMessage(t=1510787048.8870935, n=3, xy=0.0, th=0.0, dt=0.030687332153320312)
[DEBUG, 1510787048.8984568]: OdometryMessage(t=1510787048.8984556, n=4, xy=0.0, th=0.0, dt=0.0)
[DEBUG, 1510787048.9204528]: OdometryMessage(t=1510787048.9204516, n=5, xy=0.0, th=0.0, dt=0.021253347396850586)
[DEBUG, 1510787048.9422715]: OdometryMessage(t=1510787048.94227, n=6, xy=0.0, th=0.0, dt=0.020503759384155273)
[DEBUG, 1510787048.953266]: OdometryMessage(t=1510787048.9532647, n=7, xy=0.0, th=0.0, dt=0.031101465225219727)
[DEBUG, 1510787048.9752505]: OdometryMessage(t=1510787048.975249, n=8, xy=0.0, th=0.0, dt=0.030651569366455078)
[DEBUG, 1510787048.9972386]: OdometryMessage(t=1510787048.9972374, n=9, xy=0.0, th=0.0, dt=0.020440340042114258)
[DEBUG, 1510787049.008509]: OdometryMessage(t=1510787049.0085077, n=10, xy=0.0, th=0.0, dt=0.030764102935791016)
[DEBUG, 1510787049.0359495]: OdometryMessage(t=1510787049.0359483, n=11, xy=0.0, th=0.0, dt=0.03065967559814453)
[DEBUG, 1510787049.0563638]: OdometryMessage(t=1510787049.056362, n=12, xy=0.0, th=0.0, dt=0.020913124084472656)
[DEBUG, 1510787049.0770118]: OdometryMessage(t=1510787049.0770106, n=13, xy=0.0, th=0.0, dt=0.03098320960998535)
[DEBUG, 1510787049.0979865]: OdometryMessage(t=1510787049.0979848, n=14, xy=0.0, th=0.0, dt=0.020781755447387695)
